,subject,month,day,year,city,region1,postal_code,lat,lng,stance
0, Stop Greenidge Generating Plant ,11.0,13.0,21.0,Gardiner,NY,12525,41.6648222,-74.2024253,0
1, Save NY from Climate-Killing Cryptocurrency ,11.0,7.0,21.0,Watervliet,NY,12189,42.7499412,-73.72909614937647,0
2, Save NY from Climate-Killing Cryptocurrency ,10.0,29.0,21.0,Goldens Bridge,NY,10526,41.298954200000004,-73.66697370000001,0
3, Save NY from Climate-Killing Cryptocurrency ,10.0,29.0,21.0,Pleasantville,NY,10570,41.13833025,-73.7962441337709,0
4, Deny Greenidge's Title V Air Permit ,11.0,15.0,21.0,Derby,NY,14047-9572,42.700627000000004,-78.98778999999998,0
5, Greenidge Generation Power Plant ,10.0,12.0,21.0,Saugerties,NY,12477,42.071881700000006,-73.9519943,0
6, Deny Greenidge's Title V Air Permit ,11.0,15.0,21.0,Baldwin,NY,11510-1715,40.6715375,-73.6162708,0
9, Deny Greenidge's Title V Air Permit ,10.0,5.0,21.0,Bloomfield,NY,14469-9302,42.90483546924708,-77.41981611202942,0
11, Greenidge Power Station ,11.0,11.0,21.0,Dresden,NY,14441,42.69402150000001,-76.95915500000001,0
12, Greenidge Generation Power Plant ,10.0,19.0,21.0,New York,NY,10011,40.7362362,-73.99809559999998,0
13, Greenidge Generation Power Plant ,10.0,5.0,21.0,Canton,NY,13617,44.59775876136364,-75.16304276136363,0
14, Deny Greenidge's Title V Air Permit ,10.0,5.0,21.0,Delmar,NY,12054-1416,42.6275006,-73.81480359999999,0
15, Greenidge Generation Power Plant ,10.0,5.0,21.0,Kisco,NY,10549,41.19035465,-73.72560163196451,0
16, Deny Greenidge's Title V Air Permit ,11.0,18.0,21.0,Syracuse,NY,13210-3119,43.03178629999999,-76.115746,0
17, Greenidge Generation Power Plant ,10.0,5.0,21.0,Bush,NY,12566,41.589034600000005,-74.3517485,0
18, Deny Greenidge's Title V Air Permit ,11.0,15.0,21.0,Churchville,NY,14428-9527,43.0591049,-77.83254240000001,0
19, Deny Greenidge's Title V Air Permit ,11.0,16.0,21.0,Park,NY,11558-1408,40.603486,-73.65727349839233,0
20, Please Deny Greenidge Permit ,11.0,19.0,21.0,Himrod,NY,14842,42.622262,-76.920096,0
21, Deny Greenidge's Title V Air Permit ,10.0,5.0,21.0,New Rochelle,NY,10805-1158,40.88809678542131,-73.79023414132668,0
22, Deny Greenidge's Title V Air Permit ,11.0,15.0,21.0,Ithaca,NY,14850-6152,42.43586080395104,-76.48077177184054,0
23, Deny Greenidge's Title V Air Permit ,11.0,15.0,21.0,Scarsdale,NY,10583-6501,40.9747159,-73.7884025,0
24, Save NY from Climate-Killing Cryptocurrency ,10.0,29.0,21.0,Saratoga Springs,NY,12866,43.086199678260094,-73.77907826859581,0
26, Greenidge Generation Power Plant ,11.0,2.0,21.0,New Paltz,NY,12561,41.7766554,-74.1219509,0
27, Comments on Greenidge Generating Station ,11.0,17.0,21.0,Greenwich,NY,12834,43.164541299999996,-73.4732094,0
28, Deny Greenidge's Title V Air Permit ,10.0,7.0,21.0,Canandaigua,NY,14424-8358,42.85274616814845,-77.29785395388622,0
29, Greenidge Generation Power Plant ,11.0,17.0,21.0,Collins,NY,14111,42.5886412,-78.94098249999999,0
32, Deny Greenidge's Title V Air Permit ,11.0,15.0,21.0,Jamestown,NY,14701-9477,42.034044,-79.3254582,0
